nama,posisi
Maarten Paes,GK
Ernando Ari Sutaryadi,GK
Muhammad Adi Satryo,GK
Nadeo Argawinata,GK
Justin Hubner,DEF
Rizky Ridho,DEF
Muhammad Ferarri,DEF
Wahyu Prasetyo,DEF
Calvin Verdonk,DEF
Jay Idzes,DEF
Sandy Walsh,DEF
Shayne Pattynama,DEF
Asnawi Mangkualam,DEF
Pratama Arhan,DEF
Nathan Tjoe-A-On,DEF
Thom Haye,MID
Ivar Jenner,MID
Ricky Kambuaya,MID
Marselino Ferdinan,MID
Egy Maulana Vikri,FWD
Witan Sulaeman,FWD
Dimas Drajad,FWD
Rafael Struick,FWD
Ragnar Oratmangoen,FWD
Ramadhan Sananta,FWD
Hokky Caraka,FWD
